STT,State Street Corp.,Financials,Diversified Financial Services,,68.989998
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,8.64000028571
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,14.18
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,20.219999
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,55.41
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,252.550003
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,23.370001
BSX,Boston Scientific,Health Care,Health Care Equipment,,5.5
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,675.890015
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,366.179993
STT,State Street Corp.,Financials,Diversified Financial Services,,46.18
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,10.32
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,34.720001
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,14.5814285714
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,18.115715
BSX,Boston Scientific,Health Care,Health Care Equipment,,18.42
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,43.509998
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,59.93
STT,State Street Corp.,Financials,Diversified Financial Services,,32.470001
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,119.660004
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,425.470001
GILD,Gilead Sciences,Health Care,Biotechnology,,57.34
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,61.0610008
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,31.2759991
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,265.5
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,285.570007
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,56.060001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,21.9850006
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,46.950001
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,68.300003
STT,State Street Corp.,Financials,Diversified Financial Services,,70.290001
GILD,Gilead Sciences,Health Care,Biotechnology,,97.099998
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,46.00249875
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,66.05249775
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,30.9157142857
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,64.7857131428
STT,State Street Corp.,Financials,Diversified Financial Services,,68.580002
GILD,Gilead Sciences,Health Care,Biotechnology,,18.165001
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,24.2485714285
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,172.789993
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,16.2814292857
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,16.16
BSX,Boston Scientific,Health Care,Health Care Equipment,,10.66
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,17.75
GILD,Gilead Sciences,Health Care,Biotechnology,,78.029999
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,53.56499875
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,18.955
BSX,Boston Scientific,Health Care,Health Care Equipment,,16.41
GILD,Gilead Sciences,Health Care,Biotechnology,,105.739998
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,124.220001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,57
BSX,Boston Scientific,Health Care,Health Care Equipment,,6.16
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,24.6709995
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,195.320007
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,22.07500075
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,53.01750175
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,23.955
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,21.8500005
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,198.649994
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,19
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,16.37000075
GILD,Gilead Sciences,Health Care,Biotechnology,,110.559998
STT,State Street Corp.,Financials,Diversified Financial Services,,54.68
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,44.5250015
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,25.2999992
STT,State Street Corp.,Financials,Diversified Financial Services,,76.279999
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,70.68
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,14.77
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,71.519997
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,68.010002
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,57.099998
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,28.2099991
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,18.85
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,56.625
BSX,Boston Scientific,Health Care,Health Care Equipment,,23.18
GILD,Gilead Sciences,Health Care,Biotechnology,,40.830002
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,57.18
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,587
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,99.370003
GILD,Gilead Sciences,Health Care,Biotechnology,,80.940002
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,105.440002
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,360.869995
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,102.650002
GILD,Gilead Sciences,Health Care,Biotechnology,,80.470001
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,122.139999
GILD,Gilead Sciences,Health Care,Biotechnology,,19.41
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,81.889999
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,45.66
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,66.6942825714
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,37.4350014
BSX,Boston Scientific,Health Care,Health Care Equipment,,20.459999
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,76.790001
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,16.98
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,305.459991
GILD,Gilead Sciences,Health Care,Biotechnology,,20.6450005
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,45.19499975
GILD,Gilead Sciences,Health Care,Biotechnology,,98.690002
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,54.25
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,14.13
STT,State Street Corp.,Financials,Diversified Financial Services,,58.66
STT,State Street Corp.,Financials,Diversified Financial Services,,44.470001
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,55.6624985
STT,State Street Corp.,Financials,Diversified Financial Services,,71.279999
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,13.84
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,16.9771422857
GILD,Gilead Sciences,Health Care,Biotechnology,,80.82
STT,State Street Corp.,Financials,Diversified Financial Services,,50.060001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,45.4179993
BSX,Boston Scientific,Health Care,Health Care Equipment,,16.629999
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,288.320007
STT,State Street Corp.,Financials,Diversified Financial Services,,78.010002
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,36.48
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,62.38249975
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,50.9399985
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,193.990005
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,231.899994
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,67.334999
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,51.0979996
STT,State Street Corp.,Financials,Diversified Financial Services,,64.269997
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,784.929993
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,16.209999
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,20.780001
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,70.959999
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,48.369999
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,80.18
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,227.059998
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,9.94285685713
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,311.779999
STT,State Street Corp.,Financials,Diversified Financial Services,,70.589996
BSX,Boston Scientific,Health Care,Health Care Equipment,,21.76
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,47.68
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,100.300003
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,33.9114304285
GILD,Gilead Sciences,Health Care,Biotechnology,,45.02
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,83.129997
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,90.230003
BSX,Boston Scientific,Health Care,Health Care Equipment,,8.15
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,17.5774995
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,52.31999975
BSX,Boston Scientific,Health Care,Health Care Equipment,,17.190001
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,73.290001
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,65.68
STT,State Street Corp.,Financials,Diversified Financial Services,,36.630001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,65.4000015
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,59.5271415714
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,218.279999
BSX,Boston Scientific,Health Care,Health Care Equipment,,7.76
BSX,Boston Scientific,Health Care,Health Care Equipment,,9.22
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,93.040001
